Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0444736507285622,-1.11022302462516E-16,0.101520628093247,0,0,0,31.3592902203089,0.55001310970122,3.98986399474666E-17,0.00126069613122736,2.37534066298956,-2.05659599593344E-18,2.89476260275375,0,0,0,0,0,0,package://assem3/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/base_link.STL,,chassis and rear wheel-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rear_axle,-2.77555756156289E-16,-1.11022302462516E-16,-0.295909999999999,0,0,0,0.188974185203894,0.00541263612744179,1.25116898354713E-21,-8.04945997687602E-19,0.00541263612744179,-1.91426692204395E-20,9.74014393773757E-06,0,0,0,0,0,0,package://assem3/meshes/rear_axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/rear_axle.STL,,axle rear-2,BL_wheel_frame,BL_wheel_axis,rear_axle_fixed_joint,fixed,-0.254,0.29591,0.1016,-1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
rear_right_wheel,2.4980018054066E-15,4.44089209850063E-16,0.00381000000000153,0,0,0,0.821190144658104,0.00363823051227157,6.29693475842048E-19,3.88279903021371E-18,0.00363823051227157,6.00057745133937E-19,0.00661153859928151,0,0,0,0,0,0,package://assem3/meshes/rear_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/rear_right_wheel.STL,,wheel_2-4,BR_wheel_frame,BR_wheel_axis,BR_wheel_joint,continuous,0,0,-0.59182,0,0,0,rear_axle,0,0,1,,,,,,,,,,,,
rear_left_wheel,0,0,-0.00381000000000031,0,0,0,0.821190144658107,0.00363823051227159,-9.14842761672796E-19,-6.7762635780344E-20,0.00363823051227159,2.58241516646231E-19,0.00661153859928153,0,0,0,0,0,0,package://assem3/meshes/rear_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/rear_left_wheel.STL,,wheel_2-3,BL_wheel_frame,BL_wheel_axis,BL_wheel_joint,continuous,0,0,0,0,0,0,rear_axle,0,0,1,,,,,,,,,,,,
front_left_clamp,0.0215281779215679,0.00042175756438767,0,0,0,0,0.641956706482968,0.00135278722730519,5.35433396448289E-06,6.62362914544401E-21,0.00112506642003246,5.74411426572431E-20,0.00100866529819892,0,0,0,0,0,0,package://assem3/meshes/front_left_clamp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_left_clamp.STL,,axel_assembly1-2/clamp1-1,FL_steer_joint_frame,FL_steer_axis,FL_clamp_joint,fixed,0.25408,0.22109,0.1016,0,0,-1.5943,base_link,0,0,0,,,,,,,,,,,,
front_left_axle,-0.0244949192475701,-0.00235648570810332,-6.42436837061666E-09,0,0,0,0.0396239878178855,6.40965190915279E-06,-2.42058002157189E-06,-7.74722210669572E-12,3.13367607740496E-05,4.92179843683267E-11,2.74190613086472E-05,0,0,0,0,0,0,package://assem3/meshes/front_left_axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_left_axle.STL,,axel_assembly1-2/axel1-1,FL_steer_joint_frame,FL_steer_axis,FL_steer_joint,revolute,0,0,0,0,0,0,front_left_clamp,0,0,-1,0,0,0,0,,,,,,,,
front_left_wheel,0.000275667714972561,-1.11022302462516E-16,-0.00380001411983177,0,0,0,0.821190144658104,0.00365379596559511,2.20995283745918E-18,-0.000214566085175851,0.00363823051227157,-1.96057593139813E-19,0.00659597314595797,0,0,0,0,0,0,package://assem3/meshes/front_left_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_left_wheel.STL,,axel_assembly1-2/wheel_2-1,FL_wheel_frame,FL_wheel_axis,FL_wheel_joint,continuous,-0.077009,-0.0074087,0,-1.5708,0,1.5943,front_left_axle,-0.072354,0,0.99738,,,,,,,,,,,,
front_right_clamp,-0.0215293945463542,-0.000409753083475795,0,0,0,0,0.641956706482969,0.00135278722730519,5.35433396448316E-06,3.65008257920842E-20,0.00112506642003246,4.34475241529032E-20,0.00100866529819893,0,0,0,0,0,0,package://assem3/meshes/front_right_clamp.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_right_clamp.STL,,axel_assembly1-3/clamp1-1,FR_steer_joint_frame,FR_steer_axis,FR_clamp_joint,fixed,0.2539,-0.22109,0.1016,0,0,-1.5943,base_link,0,0,0,,,,,,,,,,,,
front_right_axle,0.0244696373875344,0.00260594342102161,-6.9781480593889E-09,0,0,0,0.0396239878815167,6.46151777008954E-06,-2.67383329521751E-06,8.50737619624083E-12,3.12848948220259E-05,-4.91039396926096E-11,2.74190612204381E-05,0,0,0,0,0,0,package://assem3/meshes/front_right_axle.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_right_axle.STL,,axel_assembly1-3/axel1-1,FR_steer_joint_frame,FR_steer_axis,FR_steer_joint,revolute,0,0,0,0,0,0,front_right_clamp,0,0,1,0,0,0,0,,,,,,,,
front_right_wheel,-0.000314339013796405,-9.8486774291473E-11,0.00379701073452043,0,0,0,0.821190144658106,0.00365846939173613,-1.25714609949212E-18,-0.000244472517355173,0.00363823051227158,5.14648760467415E-19,0.00659129971981698,0,0,0,0,0,0,package://assem3/meshes/front_right_wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://assem3/meshes/front_right_wheel.STL,,axel_assembly1-3/wheel_2-1,FR_wheel_frame,FR_wheel_axis,FR_wheel_joint,continuous,0.076929,0.0081925,0,-1.5708,0,1.5943,front_right_axle,0.082504,0,-0.99659,,,,,,,,,,,,
